,ADHD,TDC
Age,8.666666666666666,7.538461538461538
,(1.51),(1.51)
Panic,2.8333333333333335,1.25
,(4.67),(0.87)
General Anxiety,4.833333333333333,2.75
,(5.42),(2.63)
Separation Anxiety,3.0,1.75
,(3.16),(2.01)
Social Anxiety,6.166666666666667,3.4166666666666665
,(2.93),(3.15)
School Avoidance,0.0,0.08333333333333333
,(0.00),(0.29)
Total Anxiety,16.833333333333332,8.538461538461538
,(14.97),(7.05)
ADHD-Inattentive,6.666666666666667,1.0
,(1.21),(1.41)
ADHD-Hyperactive/Impulsive,4.5,0.75
,(3.56),(1.29)
